net,length_um
m.u_conv3.u_weights._01171_,435.155µm
net1041,434.395µm
net722,434.28µm
net847,433.86µm
net508,433.335µm
m.embedding\[13\],433.09µm
net1014,433µm
m.u_conv2._1442_,431.86µm
net1259,431.805µm
net1274,431.75µm
net1104,431.66µm
net416,431.515µm
net1208,431.395µm
net1289,431µm
net1257,430.415µm
net1313,430.105µm
m.u_conv3.u_weights._09685_,429.88µm
net1114,429.86µm
m.u_conv3.u_weights._07973_,429.385µm
net867,429.065µm
net142,428.8µm
net811,428.53µm
net802,428.235µm
net1137,427.785µm
m.u_conv3.u_weights._03320_,427.65µm
net135,427.36µm
m.u_conv3.input_buf\[41\],427.22µm
net406,426.98µm
net536,426.965µm
net1333,426.885µm
net346,426.74µm
net1460,426.445µm
net1362,426.185µm
m.u_conv3.u_weights._13454_,425.855µm
m.u_conv3.u_weights._07474_,425.595µm
net1434,425.47µm
net918,425.465µm
m.u_conv3.u_weights._07488_,424.88µm
m.embedding\[11\],424.77µm
net444,424.065µm
m.u_conv3.u_weights._11040_,423.72µm
m.embedding\[40\],423.6µm
net1554,423.28µm
net21,422.53µm
net266,421.96µm
net1539,421.75µm
net968,421.67µm
net389,421.495µm
net981,421.445µm
net1512,421.075µm
net732,420.58µm
net1529,420.035µm
net1116,419.925µm
m.u_conv3.u_weights._07455_,419.87µm
net1159,419.835µm
net936,419.675µm
net1264,419.535µm
net481,418.875µm
net1050,418.705µm
net1201,418.19µm
net1407,418.09µm
net905,418.055µm
net629,417.865µm
m.u_conv3.u_weights._08253_,417.71µm
net1070,417.6µm
m.u_conv3.u_weights._11308_,416.77µm
net1320,416.735µm
net1471,416.24µm
m.u_conv3.u_weights._05532_,416.075µm
net972,416.04µm
m.u_conv3.u_weights._00285_,416.035µm
net1265,415.975µm
net1457,415.875µm
net1287,415.58µm
m.u_conv3.u_weights._07489_,415.11µm
m.u_conv3.u_weights._09124_,414.775µm
m.u_conv3.u_weights._09103_,414.67µm
net565,414.39µm
m.u_conv3.u_weights._07416_,414.365µm
net120,414.175µm
m.u_conv3.u_weights._07235_,414.09µm
net1105,414.045µm
net838,413.95µm
net60,413.81µm
net440,413.725µm
m.embedding\[15\],413.29µm
net1169,412.91µm
net720,412.9µm
net1421,412.72µm
net1467,412.585µm
net1354,412.505µm
m.u_conv2._1195_,412.135µm
net866,411.605µm
m.u_conv3.u_weights._13143_,411.44µm
net1350,411.4µm
net1281,411.045µm
clknet_3_1_0_clk_regs,410.905µm
m.u_conv3.input_buf\[52\],410.435µm
net960,410.405µm
net1270,410.37µm
m.u_conv3.u_weights._11866_,410.295µm
net1039,410.115µm
net566,409.27µm
m.u_conv3.u_weights._13144_,409.115µm
net999,408.63µm
