net,length_um
m.u_conv3.u_weights._06563_,408.39µm
net863,408.36µm
net1409,408.265µm
net1420,406.98µm
m.u_conv3.u_weights._06227_,406.7µm
m.u_conv3.u_weights._08803_,406.6µm
net1097,406.6µm
m.u_conv3.u_weights._08847_,406.495µm
net474,406.19µm
m.u_conv3.u_weights._01921_,406.07µm
net809,405.415µm
m.u_conv3.u_weights._07068_,405.01µm
net551,404.98µm
net1285,404.75µm
m.u_conv2._0675_,404.655µm
net549,404.165µm
m.u_conv2._1318_,403.975µm
m.u_conv3.u_weights._14976_,403.52µm
m.u_conv3.u_weights._14977_,403.445µm
net1055,403.325µm
m.u_conv3.u_weights._09144_,403.18µm
m.u_conv2._1473_,402.995µm
net1305,402.455µm
net1327,402.08µm
m.u_conv3.u_weights._07661_,401.91µm
net957,401.7µm
net417,401.54µm
net122,400.825µm
net1148,400.81µm
net1321,400.43µm
m.u_conv3.u_weights._11853_,399.72µm
net1146,399.585µm
net1590,399.53µm
net1214,399.345µm
net391,399.215µm
m.u_conv3.u_weights._05029_,398.685µm
net133,398.005µm
net404,397.245µm
net1135,396.11µm
net412,396.03µm
net890,396.005µm
m.u_conv2._1226_,395.765µm
net1508,395.505µm
clknet_3_0_0_clk_regs,395.37µm
net1203,395.15µm
net1487,394.565µm
m.u_conv3.u_weights._06059_,394.475µm
net1432,394.325µm
m.u_conv3.u_weights._08584_,394.31µm
m.u_conv3.u_weights._14091_,393.82µm
net943,393.15µm
net1337,393.06µm
m.sram_dout_i\[6\],393.025µm
net1451,392.955µm
net1251,392.9µm
net899,392.32µm
m.u_conv2._0511_,392.075µm
m.embedding\[20\],392µm
net543,391.74µm
net395,391.35µm
net782,390.76µm
net1086,390.465µm
m.u_conv3.u_weights._14639_,390.37µm
net360,390.17µm
net1253,389.84µm
net1438,389.675µm
net1081,389.655µm
m.u_conv2._0905_,389.42µm
net484,388.855µm
net1343,388.725µm
net1307,388.705µm
m.u_conv3.u_weights._07207_,388.525µm
net277,388.11µm
net1384,388.1µm
net1493,388.04µm
net422,388.035µm
net622,387.75µm
net1188,386.74µm
net1195,386.49µm
net57,385.92µm
net1819,385.28µm
net880,384.545µm
net393,383.99µm
net1149,383.67µm
net925,383.615µm
net1013,383.36µm
net1497,383.175µm
m.u_conv3.u_weights._08624_,383.13µm
m.u_conv3.u_weights._10267_,382.41µm
net1419,381.97µm
net1129,381.8µm
net106,381.14µm
net1597,380.93µm
net1015,380.865µm
m.u_conv3.u_weights._14233_,380.56µm
net923,380.5µm
net1096,380.42µm
m.u_conv3.u_weights._01167_,380.28µm
net886,380.205µm
m.embedding\[22\],380.105µm
net1072,379.94µm
m.u_conv3.u_weights._07134_,379.85µm
m.u_conv3.u_weights._12398_,379.65µm
net1397,378.935µm
m.u_conv3.u_weights._06589_,378.84µm
net1344,378.395µm
m.u_conv2._1288_,378.315µm
m.u_tree._1283_,378.215µm
net1157,378.07µm
m.u_tree._1228_,377.63µm
net496,377.6µm
net1119,377.43µm
net1206,377.395µm
net394,377.29µm
net1427,376.94µm
net1491,376.915µm
net530,376.18µm
net946,375.63µm
net439,375.445µm
net437,374.915µm
m.u_conv3.u_weights._00645_,374.385µm
net39,374.37µm
net1092,373.935µm
net1290,373.825µm
net1229,373.72µm
net873,373.65µm
net977,373.51µm
m.u_conv2._1164_,373.485µm
net1240,373.455µm
net758,373.14µm
m.u_tree._1316_,372.75µm
m.u_conv3.u_weights._07972_,372.49µm
net1738,372.45µm
net322,370.92µm
m.u_conv3.u_weights._08571_,370.845µm
net1524,370.8µm
net503,370.525µm
net409,370.48µm
m.u_conv3.u_weights._02204_,370.34µm
m.u_conv3.u_weights._00326_,370.24µm
m.u_conv3.u_weights._04588_,369.8µm
net22,369.32µm
net1021,369.29µm
m.u_conv2._0650_,369.09µm
net1179,369.06µm
net1043,369.015µm
m.u_conv3.u_weights._14003_,368.925µm
net398,368.82µm
m.u_conv3.u_weights._13981_,368.54µm
net41,368.13µm
net1410,367.76µm
net1223,367.155µm
m.u_conv3.u_weights._09530_,365.465µm
net1075,365.435µm
net1004,365.18µm
net1106,365.135µm
net929,365.065µm
net1367,364.11µm
net1341,364.055µm
net1200,363.815µm
net1172,363.245µm
net1311,363.2µm
m.embedding\[31\],362.23µm
m.u_conv3.u_weights._00164_,361.87µm
net232,361.855µm
net1153,361.84µm
net438,361.7µm
m.u_conv3.u_weights._05018_,361.62µm
m.u_conv3.u_weights._00327_,361.13µm
m.u_conv3.u_weights._00908_,360.84µm
net70,360.795µm
net1230,360.63µm
m.sram_req_conv3\[6\],360.54µm
m.u_conv3.u_weights._10277_,360.18µm
m.u_conv3.u_weights._07414_,360.16µm
m.u_conv3.u_weights._11297_,359.925µm
net1484,359.705µm
net14,359.69µm
m.u_conv2._1504_,359.63µm
net76,359.33µm
net1377,359.21µm
clknet_3_4_0_clk_regs,359.01µm
net1476,358.665µm
net1440,358.5µm
net1294,358.485µm
net310,357.735µm
net1140,357.375µm
net1381,357.06µm
m.u_conv3.u_weights._08227_,356.7µm
net1447,356.395µm
net421,356.22µm
net385,356.08µm
m.u_conv3.u_weights._01958_,355.88µm
m.u_conv3.u_weights._09126_,355.285µm
net1390,355.17µm
net906,354.72µm
net1345,354.49µm
net1142,354.08µm
m.u_conv3.u_weights._13162_,353.67µm
m.u_conv3.u_weights._01161_,353.525µm
net45,353.415µm
net1478,353.125µm
m.u_conv3.input_buf\[50\],352.8µm
m.u_conv3.u_weights._07475_,352.565µm
m.embedding\[6\],351.915µm
net1065,351.335µm
net1027,350.51µm
m.embedding\[21\],350.41µm
m.u_conv3.u_weights._05783_,350.235µm
net233,350.045µm
net1315,349.855µm
net50,349.58µm
net376,349.385µm
net1360,348.585µm
net63,348.055µm
net1182,347.985µm
net1522,347.885µm
m.u_conv3.u_weights._13732_,347.635µm
m.embedding\[32\],346.72µm
net386,346.7µm
m.u_conv3.u_weights._01132_,346.255µm
net757,346.22µm
m.u_conv3.u_weights._14011_,345.955µm
m.u_conv3.u_weights._07191_,345.68µm
net1415,345.665µm
net442,345.54µm
net1376,345.33µm
net1324,345.13µm
net1123,344.765µm
m.u_conv3._100_,344.535µm
m.sram_req_conv3\[4\],344.47µm
net382,344.33µm
net1374,344.285µm
net653,343.87µm
net805,343.365µm
net624,343.23µm
m.u_conv3.u_weights._11304_,343.21µm
m.u_conv3.u_weights._11824_,342.91µm
net1575,342.895µm
clknet_3_3_0_clk_regs,342.71µm
net1326,342.565µm
m.u_conv3.u_weights._01325_,341.995µm
net1513,341.925µm
net399,341.71µm
net436,341.69µm
net1364,341.58µm
net1197,341.09µm
net854,341.08µm
net302,341.005µm
m.u_conv3.u_weights._13163_,340.725µm
m.u_conv2._1411_,340.355µm
m.u_conv3.u_weights._01148_,340.325µm
net1139,340.285µm
m.u_conv3._102_,339.98µm
clknet_3_2_0_clk_regs,339.94µm
m.u_conv3.u_weights._02195_,339.93µm
m.embedding\[59\],339.81µm
m.embedding\[37\],339.43µm
m.u_conv3.u_weights._12669_,339.29µm
net384,339.205µm
net479,339.04µm
m.u_conv2._1062_,338.99µm
net290,338.895µm
net895,338.815µm
m.u_conv3.u_weights._09063_,338.335µm
m.u_conv3.u_weights._07206_,338.27µm
m.u_conv3.u_weights._10504_,338.24µm
net781,338.22µm
net850,338.16µm
m.u_conv2._1546_,338.015µm
net1380,337.865µm
net1500,337.835µm
net889,337.585µm
net1275,337.55µm
net1319,337.21µm
net1068,337.11µm
net397,336.31µm
net1352,336.155µm
net323,335.585µm
net858,335.495µm
m.u_conv3.u_weights._06824_,335.35µm
net117,334.91µm
net289,334.42µm
net1511,334.115µm
net95,334.09µm
net1108,333.76µm
net429,332.815µm
net1801,331.925µm
net1222,331.79µm
net537,331.545µm
net1299,331.295µm
net1339,331.19µm
net318,331.185µm
net1181,330.75µm
net75,330.505µm
net1398,330µm
net856,329.95µm
net1118,329.81µm
net388,329.735µm
net1538,329.625µm
net420,329.505µm
net202,329.41µm
net1054,329.405µm
m.u_conv3.u_weights._01314_,329.31µm
net427,329.215µm
net1496,328.73µm
net1393,328.72µm
net410,328.5µm
net1534,328.185µm
net971,327.45µm
m.sram_req_conv3\[1\],327.32µm
net1547,327.21µm
net1514,326.895µm
net1499,326.53µm
net1559,326.23µm
m.u_conv3.input_buf\[45\],326.18µm
net1143,326.18µm
m.u_conv2._0689_,325.895µm
net1276,325.78µm
m.sram_req_conv3\[3\],325.7µm
net407,325.34µm
m.u_conv3.u_weights._06903_,325.12µm
net756,325.11µm
net1422,323.875µm
net875,323.745µm
m.u_conv3._099_,323.12µm
net1141,323.08µm
m.u_conv3.u_weights._07431_,322.695µm
net698,321.96µm
m.sram_req_conv3\[5\],321.94µm
m.u_conv3.u_weights._06961_,321.94µm
net128,321.915µm
net812,321.72µm
m.u_conv3.u_weights._00065_,321.05µm
net1463,320.485µm
net1110,320.275µm
net418,319.805µm
net235,319.315µm
m.u_tree._0000_,319.105µm
net313,319.075µm
net1454,318.93µm
net387,318.63µm
m.u_tree._1547_,318.515µm
net1185,318.455µm
net1316,318.165µm
m.u_conv3.u_weights._09666_,317.63µm
m.u_conv3.u_weights._09989_,317.59µm
net1078,317.17µm
net25,317.065µm
m.u_conv3.u_weights._13707_,316.82µm
net282,316.7µm
net415,316.69µm
net1191,316.525µm
m.u_conv3.u_weights._06260_,316.28µm
m.u_conv3.u_weights._01953_,316.18µm
net195,315.58µm
net942,315.535µm
clknet_3_6_0_clk_regs,314.92µm
net1448,314.845µm
m.u_conv3._112_,314.525µm
m.sram_req_conv3\[2\],314.19µm
net656,314.155µm
net878,313.66µm
net1718,313.445µm
net1317,313.26µm
m.sram_req_conv3\[0\],312.93µm
net1406,312.9µm
m.u_conv3.u_weights._07321_,312.89µm
net1537,312.145µm
net803,312.01µm
net220,311.58µm
net1216,311.35µm
m.u_conv3.u_weights._12695_,310.865µm
m.u_conv3.u_weights._00043_,310.02µm
net1125,309.62µm
net253,309.595µm
net1365,309.54µm
m.u_conv3.u_weights._11635_,309.375µm
net1122,309.085µm
net779,308.91µm
net806,308.665µm
net443,308.55µm
net1164,308.52µm
net1061,307.725µm
net1296,306.74µm
m.u_conv3.u_weights._01939_,306.2µm
net79,305.9µm
net114,305.87µm
net1450,305.785µm
net1017,305.185µm
net430,304.78µm
net19,304.51µm
net305,304.425µm
m.u_conv3.u_weights._09399_,304.22µm
net297,303.365µm
net331,303.33µm
m.u_conv3.u_weights._12352_,302.435µm
m.u_conv2._0912_,301.74µm
m.u_conv3.u_weights._13729_,301.445µm
net435,301.43µm
net217,301.235µm
m.u_conv2.conv_out0\[0\],301.115µm
net1283,300.08µm
m.u_conv3.u_weights._09965_,300.005µm
net28,299.64µm
net1038,299.595µm
net1418,299.145µm
net1247,298.84µm
net227,298.585µm
m.u_conv2.conv_out0\[3\],298.085µm
net270,297.515µm
m.u_conv3.u_weights._14280_,297.51µm
m.u_conv3.u_weights._06966_,297.47µm
net471,296.94µm
m.u_conv2.conv_out0\[2\],296.035µm
net403,295.94µm
net241,295.41µm
net1032,295.18µm
net32,295.12µm
m.u_conv3.u_weights._09966_,295.035µm
net1446,294.985µm
m.sram_dout_i\[7\],294.425µm
net102,294.295µm
m.sram_req_conv3\[7\],294.07µm
m.u_conv2._1380_,294.07µm
net425,293.5µm
net970,292.87µm
m.u_conv3.u_weights._01090_,292.74µm
m.u_conv3._104_,292.655µm
m.u_conv3.u_weights._01089_,292.515µm
m.u_conv3.u_weights._06806_,292.475µm
net1113,291.735µm
net1483,291.7µm
net212,290.555µm
m.u_conv3.u_weights._11232_,290.26µm
m.u_conv3.u_weights._09083_,290.03µm
net109,290.02µm
net194,289.96µm
net381,289.6µm
net390,289.07µm
net1232,288.97µm
net1382,288.69µm
net1303,288.575µm
net307,287.6µm
net58,286.795µm
m.u_conv3.u_weights._15044_,286.78µm
net441,286.48µm
net1431,286.305µm
net321,286.045µm
net1556,285.875µm
m.u_conv3.u_weights._12888_,285.16µm
m.u_conv3._105_,285.095µm
m.u_conv3.u_weights._07667_,285.005µm
net1515,284.445µm
net68,283.61µm
net1211,282.955µm
net29,282.84µm
m.u_conv3.u_weights._10142_,282.78µm
m.u_conv3.u_weights._13322_,282.37µm
net493,282.25µm
m.u_conv3.u_weights._05792_,282.04µm
m.u_conv3.u_weights._06686_,281.96µm
m.u_tree._1327_,281.95µm
m.u_conv3.u_weights._13828_,281.54µm
m.u_conv3.u_weights._09375_,281.405µm
m.u_conv3.u_weights._02923_,281.4µm
net1210,281.275µm
net1233,280.085µm
m.u_conv3.u_weights._11126_,280.06µm
net44,279.715µm
net642,279.015µm
net688,278.855µm
net1569,278.825µm
net1196,278.36µm
m.u_conv3.u_weights._15068_,278.275µm
m.u_conv3.state\[4\],276.74µm
net288,276.68µm
net1016,276.285µm
m.u_conv3.u_weights._14292_,275.4µm
net317,275.15µm
net434,274.48µm
m.u_conv3.u_weights._10260_,274.28µm
m.u_conv2.conv_out0\[1\],273.84µm
net1375,273.695µm
net225,273.41µm
m.u_conv3.u_weights._11101_,273.27µm
net306,273.195µm
m.u_conv3.u_weights._01867_,272.955µm
m.u_conv3.u_weights._07164_,272.83µm
m.u_conv3.u_weights._13499_,272.22µm
m.u_conv3._097_,272.19µm
net1428,271.875µm
m.u_conv3._096_,271.84µm
m.u_conv3.u_weights._08164_,271.77µm
m.u_conv3.u_weights._05940_,271.7µm
m.u_conv2._1299_,271.59µm
net1458,271.57µm
m.embedding\[12\],271.45µm
clknet_leaf_0_clk_regs,271.41µm
net1066,271.36µm
net813,271.03µm
net97,270.905µm
net88,270.71µm
net426,270.645µm
net1572,270.64µm
net709,270.605µm
net1023,270.22µm
net228,269.985µm
m.u_conv3.u_weights._14338_,269.55µm
m.u_conv2._1535_,269.515µm
m.u_tree._1503_,269.215µm
m.u_conv3.u_weights._07155_,269.13µm
net1567,269.11µm
net1414,268.765µm
net405,267.68µm
net1048,267.59µm
m.u_conv3.u_weights._07429_,267.26µm
net1503,266.62µm
m.u_conv3.u_weights._08505_,266.1µm
m.u_conv3.u_weights._10591_,266.09µm
net1542,265.955µm
m.u_conv3.u_weights._01143_,265.68µm
net411,265.59µm
m.u_conv3.u_weights._09988_,265.51µm
m.u_conv2._0902_,265.38µm
net934,265.275µm
net1101,265.05µm
net240,264.68µm
m.embedding\[45\],264.67µm
m.u_conv3.u_weights._00755_,264.63µm
net210,264.625µm
m.u_conv3.u_weights._10366_,264.49µm
net740,264.44µm
net236,264.435µm
m.u_conv3.u_weights._04822_,264.405µm
m.u_conv3.u_weights._11070_,263.3µm
net304,263.215µm
net134,263.135µm
net130,262.995µm
m.u_conv2._0556_,262.85µm
m.u_conv3._109_,262.485µm
m.u_conv3.u_weights._14221_,262.44µm
net131,262.41µm
net1034,262.375µm
net1268,262.205µm
m.u_conv3.u_weights._11849_,262.2µm
net100,262.12µm
net69,261.965µm
net273,261.95µm
m.u_conv2._1349_,261.74µm
net1103,261.74µm
net314,261.58µm
net324,261.315µm
m.u_conv3.u_weights._11562_,261.01µm
m.u_conv3.u_weights._08412_,260.42µm
m.u_conv3.u_weights._10657_,260.28µm
m.u_conv3.u_weights._01740_,260.19µm
m.u_conv3.u_weights._06830_,260.12µm
m.u_conv3.u_weights._12898_,260.065µm
m.u_conv3.u_weights._08572_,260.03µm
clknet_leaf_6_clk_regs,259.91µm
net291,259.765µm
m.u_conv3.u_weights._14286_,259.76µm
clknet_3_7_0_clk_regs,259.675µm
net127,259.23µm
m.u_conv3.u_weights._06958_,258.91µm
net54,258.9µm
m.u_conv3.u_weights._02158_,258.56µm
m.u_conv3.u_weights._14606_,258.35µm
m.u_conv3.u_weights._03530_,258.275µm
net13,258.18µm
m.u_conv3.u_weights._06507_,258.03µm
m.u_conv3.u_weights._10562_,257.73µm
net111,257.705µm
net1760,257.685µm
m.u_conv3.u_weights._01129_,257.55µm
net361,256.865µm
m.u_conv3.u_weights._09082_,256.77µm
m.u_conv1._108_,256.45µm
net80,256.365µm
net40,256.02µm
clknet_leaf_1_clk_regs,255.71µm
net226,255.585µm
m.u_conv3.u_weights._11851_,255.315µm
net283,255.005µm
net402,254.61µm
m.u_conv3.u_weights._06892_,253.71µm
m.sram_dout_i\[0\],253.235µm
m.sram_dout_i\[4\],252.92µm
m.u_conv3.u_weights._08610_,252.63µm
net350,252.445µm
net1031,252.39µm
net107,252.17µm
m.u_conv3.u_weights._06947_,252.15µm
m.u_conv3.u_weights._10269_,252.145µm
net231,251.995µm
m.u_conv3.u_weights._14694_,251.785µm
m.u_conv3.u_weights._14924_,251.435µm
net96,251.37µm
m.u_conv3.u_weights._07144_,251.195µm
clknet_leaf_4_clk_regs,251.165µm
m.u_conv3.u_weights._14266_,251.09µm
net1630,250.76µm
m.u_conv3.u_weights._14281_,250.4µm
m.u_conv2._0558_,250.37µm
clknet_3_5_0_clk_regs,250.36µm
m.u_conv3.u_weights._06238_,250.23µm
m.u_conv3.u_weights._10673_,249.795µm
net1369,249.315µm
net26,248.855µm
m.u_conv3.u_weights._07733_,248.595µm
m.embedding\[27\],248.5µm
m.u_conv3.u_weights._06831_,248.47µm
m.sram_dout_i\[5\],248.4µm
net78,248.37µm
net219,248.265µm
clknet_leaf_47_clk_regs,248.2µm
m.u_conv3.u_weights._06813_,248.19µm
m.u_conv3.u_weights._11098_,248.01µm
net780,247.955µm
net298,247.89µm
net924,247.77µm
net1453,247.465µm
m.u_conv3.u_weights._10622_,246.45µm
m.u_conv3.u_weights._15058_,246.39µm
m.u_conv2.conv_out2\[3\],246.345µm
net953,246.32µm
m.u_conv3.u_weights._10749_,246.205µm
m.u_conv3.u_weights._11155_,246.16µm
m.u_conv3.u_weights._13564_,246.005µm
m.u_conv2._1392_,245.5µm
net1526,245.34µm
net778,245.225µm
m.u_conv3.u_weights._08239_,245.095µm
m.u_conv3.u_weights._10388_,244.94µm
net245,244.595µm
net205,244.495µm
net267,242.91µm
net1010,242.78µm
m.u_conv3.u_weights._08328_,242.565µm
m.u_conv3.u_weights._04824_,242.44µm
net419,242.21µm
m.sram_dout_i\[3\],241.255µm
m.u_conv3.u_weights._00459_,241.075µm
net260,241.05µm
net446,240.75µm
m.embedding\[50\],240.465µm
net296,240.33µm
net400,239.91µm
clknet_leaf_36_clk_regs,239.315µm
net1723,239.085µm
clknet_leaf_28_clk_regs,238.955µm
net846,238.67µm
net319,238.45µm
net1099,238.425µm
m.u_conv3.u_weights._11352_,238.17µm
m.u_tree._0048_,237.31µm
clknet_leaf_14_clk_regs,236.96µm
net47,236.935µm
net1051,236.91µm
m.u_conv3.u_weights._11374_,236.675µm
m.u_conv3._117_,236.13µm
net37,236.06µm
m.u_conv3.u_weights._09350_,236.035µm
m.u_conv3.u_weights._14828_,235.63µm
net1589,235.505µm
m.u_conv3.u_weights._01742_,235.22µm
net118,235.195µm
m.u_conv2._1423_,235.09µm
net1411,234.805µm
net207,234.745µm
net1152,234.56µm
clknet_leaf_2_clk_regs,234.405µm
m.u_conv3.u_weights._09057_,234.14µm
m.u_conv2._1454_,234.045µm
net325,233.905µm
net105,233.83µm
net1612,233.685µm
net223,233.3µm
m.u_conv3.u_weights._05598_,233.15µm
clknet_leaf_13_clk_regs,232.675µm
net1174,232.65µm
m.u_conv3.u_weights._01673_,232.63µm
net787,232.065µm
net424,232.03µm
net274,232.015µm
net23,231.925µm
net110,231.855µm
m.u_conv3.u_weights._14272_,231.815µm
net71,231.77µm
m.u_conv3.u_weights._10575_,231.54µm
m.u_conv3.u_weights._10449_,231.38µm
net1516,231.15µm
net1209,231.085µm
net1424,230.86µm
m.u_conv2._0649_,230.725µm
net2945,230.4µm
net208,230.355µm
net1168,230.23µm
net1615,229.41µm
m.u_conv2._0562_,229.225µm
net1759,229.18µm
net807,228.945µm
net326,228.89µm
net1637,228.875µm
m.u_tree._0050_,228.22µm
net799,228.16µm
net746,228.085µm
m.u_conv2._0561_,227.985µm
clknet_leaf_30_clk_regs,227.87µm
m.u_conv3.u_weights._11330_,227.845µm
m.u_conv2._1361_,227.765µm
m.u_conv3.u_weights._04617_,227.71µm
net1580,227.44µm
m.u_conv3.u_weights._11315_,227.2µm
clknet_leaf_26_clk_regs,227.06µm
net1076,227.005µm
m.u_conv3.u_weights._11661_,226.81µm
m.u_conv3.u_weights._13831_,226.695µm
m.u_conv3.u_weights._10484_,226.68µm
net82,226.605µm
m.u_conv3.u_weights._14498_,226.53µm
net414,226.32µm
net108,226.24µm
clknet_leaf_17_clk_regs,226.07µm
net330,225.93µm
m.u_conv3.u_weights._09171_,225.81µm
net1465,225.785µm
m.u_conv3.u_weights._05696_,225.78µm
net1610,225.605µm
net259,225.42µm
net1236,224.77µm
net237,224.58µm
m.u_conv3.u_weights._10794_,224.52µm
m.u_conv3.u_weights._06807_,224.065µm
net1574,223.71µm
m.u_conv3.u_weights._08537_,223.46µm
m.u_conv3.u_weights._12589_,223.065µm
m.u_conv2._0563_,223.015µm
net452,222.99µm
m.u_conv3.u_weights._10450_,222.97µm
clknet_leaf_25_clk_regs,222.64µm
m.u_conv3.u_weights._08664_,222.635µm
m.u_conv3.u_weights._03706_,222.08µm
net1060,221.98µm
m.u_tree._1338_,221.82µm
m._001_,221.62µm
m.u_conv3.u_weights._11088_,221.16µm
net263,221.055µm
m.u_conv2._1176_,220.715µm
net56,220.66µm
net1527,220.595µm
m.u_conv3.u_weights._10008_,220.285µm
m.u_conv3.u_weights._09824_,220.13µm
clknet_leaf_16_clk_regs,220.095µm
net988,220.045µm
net1521,219.885µm
net343,219.635µm
net261,219.385µm
clknet_leaf_19_clk_regs,219.255µm
m.u_conv2._0564_,218.955µm
m.u_conv3.u_weights._03729_,218.8µm
clknet_leaf_11_clk_regs,218.625µm
net1469,218.44µm
m.u_conv3.u_weights._06715_,218.175µm
m.u_conv3.u_weights._11363_,217.45µm
clknet_leaf_45_clk_regs,217.45µm
net1160,217.375µm
m.u_conv3.u_weights._09448_,217.34µm
net36,217.145µm
m.u_conv3.u_weights._03917_,217.085µm
m.u_conv3.u_weights._08100_,216.575µm
m.u_conv3.u_weights._02710_,216.435µm
m.u_conv3.u_weights._05529_,216.405µm
m.u_conv3.u_weights._06216_,216.36µm
m.u_conv3.u_weights._02711_,216.35µm
net129,215.87µm
net38,215.305µm
net703,215.265µm
m.u_conv3.u_weights._00615_,215.17µm
net788,215.13µm
clknet_leaf_9_clk_regs,214.85µm
m.u_conv3.u_weights._08297_,214.83µm
m.u_conv3.u_weights._07999_,214.48µm
clknet_leaf_46_clk_regs,214.3µm
m.u_conv3.u_weights._03247_,214.215µm
net204,214.155µm
net15,213.92µm
m.u_conv2._0555_,213.68µm
m.u_conv3.u_weights._13764_,213.21µm
net1477,213.13µm
m.u_conv3.u_weights._07115_,213.075µm
net309,213.03µm
clknet_leaf_31_clk_regs,212.975µm
m.u_conv3.u_weights._00022_,212.625µm
net475,212.495µm
m.u_conv3.u_weights._03750_,211.71µm
m.u_conv3.u_weights._04553_,211.445µm
m.u_conv3.u_weights._02663_,211.32µm
net1775,211.29µm
net964,211.04µm
net1370,210.91µm
net1441,210.43µm
net1640,210.37µm
m.u_conv3.u_weights._14858_,210.08µm
net2944,209.77µm
net30,209.765µm
net839,209.755µm
net301,209.68µm
net1158,209.39µm
net206,209.34µm
