Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_185_372,VDD,Metal1,182.4110,703.6760,1.199999
FILLER_185_364,VDD,Metal1,178.5710,703.6760,1.199999
FILLER_185_356,VDD,Metal1,174.7310,703.6760,1.200000
FILLER_185_348,VDD,Metal1,170.8910,703.6760,1.199999
FILLER_185_340,VDD,Metal1,167.0510,703.6760,1.199999
FILLER_185_332,VDD,Metal1,163.2110,703.6760,1.199998
FILLER_185_324,VDD,Metal1,159.3710,703.6760,1.199998
FILLER_185_316,VDD,Metal1,155.5310,703.6760,1.199998
FILLER_185_308,VDD,Metal1,151.6910,703.6760,1.199999
FILLER_185_302,VDD,Metal1,148.3200,703.0800,1.199999
FILLER_185_295,VDD,Metal1,146.1690,703.6780,1.199999
FILLER_185_288,VDD,Metal1,142.8090,703.6780,1.200000
FILLER_185_281,VDD,Metal1,139.4490,703.6780,1.200000
FILLER_185_274,VDD,Metal1,136.0890,703.6780,1.200000
FILLER_185_267,VDD,Metal1,132.7290,703.6780,1.200000
FILLER_185_260,VDD,Metal1,129.3690,703.6780,1.200000
FILLER_185_253,VDD,Metal1,126.0090,703.6780,1.200000
FILLER_185_246,VDD,Metal1,122.6490,703.6780,1.200000
FILLER_185_239,VDD,Metal1,119.2890,703.6780,1.200000
FILLER_185_232,VDD,Metal1,115.9290,703.6780,1.200000
FILLER_185_225,VDD,Metal1,112.5690,703.6780,1.200000
FILLER_185_218,VDD,Metal1,109.2090,703.6780,1.200000
FILLER_185_211,VDD,Metal1,105.8490,703.6780,1.200000
FILLER_185_204,VDD,Metal1,102.4890,703.6780,1.200000
FILLER_185_196,VDD,Metal1,97.9310,703.6760,1.200000
FILLER_185_188,VDD,Metal1,94.0910,703.6760,1.200000
FILLER_185_180,VDD,Metal1,90.2510,703.6760,1.200000
FILLER_185_172,VDD,Metal1,86.4110,703.6760,1.200000
FILLER_185_164,VDD,Metal1,82.5710,703.6760,1.200000
FILLER_185_156,VDD,Metal1,78.7310,703.6760,1.200000
FILLER_185_148,VDD,Metal1,74.8910,703.6760,1.200000
FILLER_185_140,VDD,Metal1,71.0510,703.6760,1.200000
FILLER_185_132,VDD,Metal1,67.2110,703.6760,1.200000
FILLER_185_124,VDD,Metal1,63.3710,703.6760,1.200000
FILLER_185_116,VDD,Metal1,59.5310,703.6760,1.200000
FILLER_185_108,VDD,Metal1,55.6910,703.6760,1.200000
FILLER_185_100,VDD,Metal1,51.8510,703.6760,1.200000
FILLER_185_92,VDD,Metal1,48.0110,703.6760,1.200000
FILLER_185_84,VDD,Metal1,44.1710,703.6760,1.200000
FILLER_185_76,VDD,Metal1,40.3310,703.6760,1.200000
FILLER_185_68,VDD,Metal1,36.4910,703.6760,1.200000
FILLER_185_60,VDD,Metal1,32.6510,703.6760,1.200000
FILLER_185_49,VDD,Metal1,28.0890,703.6780,1.200000
FILLER_185_42,VDD,Metal1,24.7290,703.6780,1.200000
FILLER_185_35,VDD,Metal1,21.3690,703.6780,1.200000
FILLER_185_28,VDD,Metal1,18.0090,703.6780,1.200000
FILLER_185_21,VDD,Metal1,14.6490,703.6780,1.200000
FILLER_185_14,VDD,Metal1,11.2890,703.6780,1.200000
FILLER_185_7,VDD,Metal1,7.9290,703.6780,1.200000
FILLER_185_0,VDD,Metal1,4.5690,703.6780,1.200000
FILLER_184_2672,VDD,Metal1,1285.9200,703.0800,1.200000
FILLER_184_2665,VDD,Metal1,1283.7690,702.4810,1.200000
FILLER_184_2658,VDD,Metal1,1280.4090,702.4810,1.200000
FILLER_184_2651,VDD,Metal1,1277.0490,702.4810,1.200000
FILLER_184_2644,VDD,Metal1,1273.6890,702.4810,1.200000
FILLER_184_2637,VDD,Metal1,1270.3290,702.4810,1.200000
FILLER_184_2630,VDD,Metal1,1266.9690,702.4810,1.200000
FILLER_184_2623,VDD,Metal1,1263.6090,702.4810,1.200000
FILLER_184_2616,VDD,Metal1,1260.2490,702.4810,1.200000
FILLER_184_2609,VDD,Metal1,1256.8890,702.4810,1.200000
FILLER_184_2602,VDD,Metal1,1253.5290,702.4810,1.200000
FILLER_184_2595,VDD,Metal1,1250.1690,702.4810,1.200000
FILLER_184_2588,VDD,Metal1,1246.8090,702.4810,1.200000
FILLER_184_2581,VDD,Metal1,1243.4490,702.4810,1.200000
FILLER_184_2574,VDD,Metal1,1240.0890,702.4810,1.200000
FILLER_184_2567,VDD,Metal1,1236.7290,702.4810,1.200000
FILLER_184_2560,VDD,Metal1,1233.3690,702.4810,1.200000
FILLER_184_2553,VDD,Metal1,1230.0090,702.4810,1.200000
FILLER_184_2546,VDD,Metal1,1226.6490,702.4810,1.200000
FILLER_184_2539,VDD,Metal1,1223.2890,702.4810,1.200000
FILLER_184_2532,VDD,Metal1,1219.9290,702.4810,1.200000
FILLER_184_2525,VDD,Metal1,1216.5690,702.4810,1.200000
FILLER_184_2518,VDD,Metal1,1213.2090,702.4810,1.200000
FILLER_184_2511,VDD,Metal1,1209.8490,702.4810,1.200000
FILLER_184_2504,VDD,Metal1,1206.4890,702.4810,1.200000
FILLER_184_2497,VDD,Metal1,1203.1290,702.4810,1.200000
FILLER_184_2490,VDD,Metal1,1199.7690,702.4810,1.200000
FILLER_184_2483,VDD,Metal1,1196.4090,702.4810,1.200000
FILLER_184_2476,VDD,Metal1,1193.0490,702.4810,1.200000
